"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 29 21:52:32 UTC 2023","Sun Jan 29 21:52:34 UTC 2023","2050","","Check the main page slider","","Check the main page slider","Click the "">"" button","Click the "">"" button",""
"passed","Sun Jan 29 21:52:40 UTC 2023","Sun Jan 29 21:52:40 UTC 2023","1","","Check displaying ""Frequently Asked Questions""","","Check displaying ""Frequently Asked Questions""","Scroll to the ""Frequently Asked Questions"" title","Scroll to the ""Frequently Asked Questions"" title",""
"passed","Sun Jan 29 21:52:02 UTC 2023","Sun Jan 29 21:52:04 UTC 2023","2108","","Check ""Telnyx Network FAQs"" articles","","Check ""Telnyx Network FAQs"" articles","Should click ""+"" of """"What is a PoP in…"" article","Should click ""+"" of """"What is a PoP in…"" article",""
"passed","Sun Jan 29 21:51:53 UTC 2023","Sun Jan 29 21:51:55 UTC 2023","1019","","Check filling ""Report abuse"" form using valid credentials","","Check filling ""Report abuse"" form using valid credentials","Enter the ""Subject"" value","Enter the ""Subject"" value",""
"passed","Sun Jan 29 21:51:51 UTC 2023","Sun Jan 29 21:51:52 UTC 2023","875","","Check activity the countries phones","","Check activity the countries phones","Click phone number of ""Estonia""","Click phone number of ""Estonia""",""
"passed","Sun Jan 29 21:52:24 UTC 2023","Sun Jan 29 21:52:26 UTC 2023","2008","","Check working the ""free International Lookup""","","Check working the ""free International Lookup""","Scroll to the ""Try our free International..."" title","Scroll to the ""Try our free International..."" title",""
"passed","Sun Jan 29 21:51:52 UTC 2023","Sun Jan 29 21:51:52 UTC 2023","1","","Check activity the countries phones","","Check activity the countries phones","Scroll to the ""New Zealand"" phone","Scroll to the ""New Zealand"" phone",""
"passed","Sun Jan 29 21:51:51 UTC 2023","Sun Jan 29 21:51:51 UTC 2023","5","","Check activity the countries phones","","Check activity the countries phones","Scroll to the ""Calling from overseas?"" title","Scroll to the ""Calling from overseas?"" title",""
"passed","Sun Jan 29 21:52:20 UTC 2023","Sun Jan 29 21:52:22 UTC 2023","2003","","Сheck drop down menu appearances","","Сheck drop down menu appearances","Hover the ""undefined"" tab","Hover the ""undefined"" tab",""
"passed","Sun Jan 29 21:52:30 UTC 2023","Sun Jan 29 21:52:30 UTC 2023","0","","Check working the ""free International Lookup""","","Check working the ""free International Lookup""","Check the ""I agree to the Terms…"" check box","Check the ""I agree to the Terms…"" check box",""
"passed","Sun Jan 29 21:52:26 UTC 2023","Sun Jan 29 21:52:28 UTC 2023","2001","","Check working the ""free International Lookup""","","Check working the ""free International Lookup""","Choose the country ""Ukraine""","Choose the country ""Ukraine""",""
"passed","Sun Jan 29 21:52:32 UTC 2023","Sun Jan 29 21:52:32 UTC 2023","1","","Check the main page slider","","Check the main page slider","Scroll to the main page slider","Scroll to the main page slider",""
"passed","Sun Jan 29 21:52:40 UTC 2023","Sun Jan 29 21:52:42 UTC 2023","2038","","Check displaying ""Frequently Asked Questions""","","Check displaying ""Frequently Asked Questions""","Click ""+"" of ""How do I get started…"" question","Click ""+"" of ""How do I get started…"" question",""
"passed","Sun Jan 29 21:52:06 UTC 2023","Sun Jan 29 21:52:08 UTC 2023","2067","","Check displaying the ""Recommended for you"" materials","","Check displaying the ""Recommended for you"" materials","Scroll to the ""Recommended for you"" title","Scroll to the ""Recommended for you"" title",""
"passed","Sun Jan 29 21:51:55 UTC 2023","Sun Jan 29 21:52:01 UTC 2023","6004","","Check the ""Download the Contact Center eBook"" form using valid credentials","","Check the ""Download the Contact Center eBook"" form using valid credentials","Click the ""Send my Content"" button","Click the ""Send my Content"" button",""
"passed","Sun Jan 29 21:52:09 UTC 2023","Sun Jan 29 21:52:20 UTC 2023","11638","","Check opening the ""Популярные темы"" sections","","Check opening the ""Популярные темы"" sections","Click the ""lastLink"" link","Click the ""lastLink"" link",""
"passed","Sun Jan 29 21:52:36 UTC 2023","Sun Jan 29 21:52:39 UTC 2023","2074","","Сheck ""Call Us"" dialog menu appearances","","Сheck ""Call Us"" dialog menu appearances","Click the ""Call Us"" header menu","Click the ""Call Us"" header menu",""
"passed","Sun Jan 29 21:52:04 UTC 2023","Sun Jan 29 21:52:06 UTC 2023","2029","","Check ""Telnyx Network FAQs"" articles","","Check ""Telnyx Network FAQs"" articles","Should click ""+"" of ""What are benefits…"" article","Should click ""+"" of ""What are benefits…"" article",""
"passed","Sun Jan 29 21:51:51 UTC 2023","Sun Jan 29 21:51:53 UTC 2023","2033","","Check filling ""Report abuse"" form using valid credentials","","Check filling ""Report abuse"" form using valid credentials","Click the ""Report Abuse form"" link","Click the ""Report Abuse form"" link",""
"passed","Sun Jan 29 21:52:34 UTC 2023","Sun Jan 29 21:52:39 UTC 2023","4351","","Check switching pages","","Check switching pages","Should open the page № 3","Should open the page № 3",""
"passed","Sun Jan 29 21:52:26 UTC 2023","Sun Jan 29 21:52:28 UTC 2023","2056","","Check ""Log in"" using invalid credentials","","Check ""Log in"" using invalid credentials","Click the ""Log in"" button","Click the ""Log in"" button",""
"passed","Sun Jan 29 21:52:27 UTC 2023","Sun Jan 29 21:52:27 UTC 2023","1","","Check clickability the main page application","","Check clickability the main page application","Scroll to the ""Wireless"" application","Scroll to the ""Wireless"" application",""
"passed","Sun Jan 29 21:52:08 UTC 2023","Sun Jan 29 21:52:13 UTC 2023","4395","","Check displaying the ""Recommended for you"" materials","","Check displaying the ""Recommended for you"" materials","Click the ""G2 names Telnyx..."" recommendation","Click the ""G2 names Telnyx..."" recommendation",""
"passed","Sun Jan 29 21:52:13 UTC 2023","Sun Jan 29 21:52:17 UTC 2023","3976","","Check displaying the ""Recommended for you"" materials","","Check displaying the ""Recommended for you"" materials","Click the ""How can Branded Calling..."" recommendation","Click the ""How can Branded Calling..."" recommendation",""
